n,p,E,Algorithm,Edges,Weight,Number of Solutions Tested,Execution Time,Number of Basic Operations,Relative Error,Accuracy Ratio
7,0.125,6,Exhaustive Search,"[(1, 5), (3, 7), (4, 6)]",12,63,0.0015933513641357422,63,NA,NA
7,0.125,6,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 5), (3, 7)]",12,3,8.511543273925781e-05,3,0.0,1.0
7,0.125,6,Maximum Connection Greedy Heuristics,"[(6, 7), (1, 5), (2, 4)]",19,3,0.0001690387725830078,3,0.5833333333333334,1.5833333333333333
7,0.125,6,Chaurasia Greedy Heuristics,"[(4, 6), (3, 7), (1, 5)]",12,3,0.00018739700317382812,3,0.0,1.0
7,0.25,10,Exhaustive Search,"[(1, 2), (6, 7)]",10,1023,0.02762436866760254,1023,NA,NA
7,0.25,10,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 2), (1, 5), (3, 7)]",16,4,0.000110626220703125,4,0.6,1.6
7,0.25,10,Maximum Connection Greedy Heuristics,"[(1, 7), (4, 6)]",18,2,0.0002028942108154297,2,0.8,1.8
7,0.25,10,Chaurasia Greedy Heuristics,"[(4, 6), (1, 2), (3, 7)]",11,3,0.00021004676818847656,3,0.1,1.1
7,0.5,15,Exhaustive Search,"[(1, 5), (4, 7)]",9,32767,1.2140488624572754,32767,NA,NA
7,0.5,15,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 2), (3, 4), (4, 7)]",14,4,0.00017833709716796875,4,0.5555555555555556,1.5555555555555556
7,0.5,15,Maximum Connection Greedy Heuristics,"[(4, 7), (1, 2), (3, 5)]",19,3,0.00035762786865234375,3,1.1111111111111112,2.111111111111111
7,0.5,15,Chaurasia Greedy Heuristics,"[(4, 6), (1, 2), (3, 7)]",11,3,0.0003743171691894531,3,0.2222222222222222,1.2222222222222223
7,0.75,18,Exhaustive Search,"[(1, 5), (4, 6), (4, 7)]",11,262143,11.370452404022217,262143,NA,NA
7,0.75,18,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 2), (3, 4), (4, 7)]",14,4,0.00020265579223632812,4,0.2727272727272727,1.2727272727272727
7,0.75,18,Maximum Connection Greedy Heuristics,"[(4, 7), (1, 5), (3, 6)]",14,3,0.0002925395965576172,3,0.2727272727272727,1.2727272727272727
7,0.75,18,Chaurasia Greedy Heuristics,"[(4, 6), (1, 5), (3, 7)]",12,3,0.00031495094299316406,3,0.09090909090909091,1.0909090909090908
8,0.125,8,Exhaustive Search,"[(1, 5), (2, 4), (7, 8)]",20,255,0.006319999694824219,255,NA,NA
8,0.125,8,Minimum Weight Greedy Heuristics,"[(7, 8), (1, 5), (2, 4)]",20,3,8.845329284667969e-05,3,0.0,1.0
8,0.125,8,Maximum Connection Greedy Heuristics,"[(5, 7), (4, 6)]",27,2,0.0001609325408935547,2,0.35,1.35
8,0.125,8,Chaurasia Greedy Heuristics,"[(7, 8), (1, 5), (4, 6)]",21,3,0.00018978118896484375,3,0.05,1.05
8,0.25,12,Exhaustive Search,"[(1, 4), (7, 8)]",11,4095,0.11463475227355957,4095,NA,NA
8,0.25,12,Minimum Weight Greedy Heuristics,"[(7, 8), (1, 4)]",11,2,8.034706115722656e-05,2,0.0,1.0
8,0.25,12,Maximum Connection Greedy Heuristics,"[(1, 7), (4, 6), (5, 8)]",36,3,0.00021910667419433594,3,2.272727272727273,3.272727272727273
8,0.25,12,Chaurasia Greedy Heuristics,"[(7, 8), (1, 5), (4, 6)]",21,3,0.0002281665802001953,3,0.9090909090909091,1.9090909090909092
8,0.5,18,Exhaustive Search,"[(1, 4), (3, 5), (7, 8)]",16,262143,9.861384153366089,262143,NA,NA
8,0.5,18,Minimum Weight Greedy Heuristics,"[(3, 5), (6, 8), (7, 8), (1, 4)]",21,4,0.00013446807861328125,4,0.3125,1.3125
8,0.5,18,Maximum Connection Greedy Heuristics,"[(1, 7), (3, 5), (6, 8), (2, 4)]",33,4,0.00028634071350097656,4,1.0625,2.0625
8,0.5,18,Chaurasia Greedy Heuristics,"[(7, 8), (3, 5), (1, 4)]",16,3,0.00028395652770996094,3,0.0,1.0
8,0.75,23,Exhaustive Search,"[(1, 2), (3, 6), (7, 8)]",16,8388607,351.4026393890381,8388607,NA,NA
8,0.75,23,Minimum Weight Greedy Heuristics,"[(3, 6), (2, 8), (3, 5), (6, 8), (7, 8), (1, 4)]",28,6,0.0003101825714111328,6,0.75,1.75
8,0.75,23,Maximum Connection Greedy Heuristics,"[(7, 8), (5, 6), (1, 4)]",19,3,0.0004773139953613281,3,0.1875,1.1875
8,0.75,23,Chaurasia Greedy Heuristics,"[(3, 6), (7, 8), (1, 5), (2, 4)]",23,4,0.00054931640625,4,0.4375,1.4375
9,0.125,10,Exhaustive Search,"[(4, 7), (5, 6), (8, 9)]",8,1023,0.0262601375579834,1023,NA,NA
9,0.125,10,Minimum Weight Greedy Heuristics,"[(5, 6), (4, 7), (5, 8), (6, 8), (5, 7), (8, 9)]",17,6,0.00014829635620117188,6,1.125,2.125
9,0.125,10,Maximum Connection Greedy Heuristics,"[(5, 7), (6, 8), (1, 9)]",13,3,0.0002009868621826172,3,0.625,1.625
9,0.125,10,Chaurasia Greedy Heuristics,"[(5, 6), (4, 7), (8, 9)]",8,3,0.00022149085998535156,3,0.0,1.0
9,0.25,17,Exhaustive Search,"[(1, 9), (4, 7), (5, 6)]",9,131071,4.028156042098999,131071,NA,NA
9,0.25,17,Minimum Weight Greedy Heuristics,"[(5, 6), (4, 7), (5, 8), (6, 8), (5, 7), (8, 9), (1, 9)]",23,7,0.00019598007202148438,7,1.5555555555555556,2.5555555555555554
9,0.25,17,Maximum Connection Greedy Heuristics,"[(1, 9), (5, 7), (6, 8)]",13,3,0.0002548694610595703,3,0.4444444444444444,1.4444444444444444
9,0.25,17,Chaurasia Greedy Heuristics,"[(5, 6), (4, 7), (1, 9)]",9,3,0.0002808570861816406,3,0.0,1.0
9,0.5,23,Exhaustive Search,"[(1, 9), (4, 7), (5, 6)]",9,8388607,360.54320549964905,8388607,NA,NA
9,0.5,23,Minimum Weight Greedy Heuristics,"[(5, 6), (4, 7), (5, 8), (6, 8), (4, 5), (4, 8), (7, 8), (5, 7), (5, 9), (8, 9), (1, 9)]",40,11,0.0005753040313720703,11,3.4444444444444446,4.444444444444445
9,0.5,23,Maximum Connection Greedy Heuristics,"[(4, 5), (1, 9), (7, 8), (2, 6)]",29,4,0.0006175041198730469,4,2.2222222222222223,3.2222222222222223
9,0.5,23,Chaurasia Greedy Heuristics,"[(5, 6), (4, 7), (1, 9)]",9,3,0.0006623268127441406,3,0.0,1.0
